AB188695	486	724
AB188696	495	724
AB188697	486	724
AB188698	486	724
AB188699	507	724
AB188700	507	724
AB188701	507	724
AB188702	507	724
AB188703	507	724
AB188704	507	724
AB188705	486	646
AB188706	486	724
AB188707	486	724
AB188708	495	724
AB188709	495	724
AB188710	507	645
AB188711	507	645
AB188712	507	724
AB188713	486	724
AB188714	495	724
AB188715	495	724
AB206125	546	724
AB206126	546	724
AB206127	546	724
AB206128	541	724
AB206129	541	724
AB206130	541	724
AB206131	546	724
AB206132	906	946
AB206133	906	945
AB206134	546	724
AB206135	546	724
AB206136	906	945
AB206137	546	724
AB206138	546	724
AB206139	547	724
AB206140	546	724
AB206141	546	724
AB206142	546	724
AB206143	541	724
AB206144	546	724
AB206145	896	945
AB206146	906	945
AB206147	546	724
AB206148	546	724
AB206149	546	724
AB206150	546	724
AB206151	906	943
AB206152	546	724
AB206153	546	724
AB206154	541	724
AB206155	541	724
AB206156	547	724
AB206157	546	724
AB206158	547	724
AB206159	546	724
AB206160	906	945
AB206161	546	724
AB206162	546	724
AB206163	546	724
AB206164	897	945
AB206165	546	724
AB206166	546	724
AB206167	546	724
AB206168	546	724
AB206169	546	724
AB208648	149	724
AB208649	149	724
AB214535	149	724
AB218686	2	945
AB218687	1	945
AB218688	2	945
AB218896	1	945
AB218897	1	945
AB218898	2	945
AB223007	42	945
AB233475	149	724
AB233476	149	724
AB233477	149	724
AB233478	149	724
AB233479	149	724
AB233480	149	724
AB233481	149	724
AB233482	149	724
AB233483	149	724
AB233484	149	724
AB233485	149	724
AB233486	149	724
AB233487	149	724
AB233488	149	724
AB233489	149	724
AB233490	149	724
AB233491	149	724
AB236128	149	724
AB236129	149	724
AB236130	149	724
AB236192	399	645
AB236194	399	645
AB236195	399	645
AB236433	508	724
AB236731	42	307
AB238965	2	945
AB238966	1	946
AB238967	1	946
AB238968	1	945
AB238969	1	946
AB239593	2	945
AB239594	128	849
AB239595	1	945
AB239596	1	945
AB239597	2	945
AB239598	1	945
AB239599	1	945
AB239600	1	850
AB239601	2	945
AB239602	2	946
AB239722	304	102
AB241438	501	724
AB241439	486	724
AB241440	486	724
AB241441	486	724
AB241442	486	724
AB241443	486	724
AB242161	366	945
AB242162	25	945
AB242163	396	945
AB242164	42	945
AB242165	42	945
AB242166	1	945
AB242167	40	945
AB242168	25	945
AB242169	1	850
AB242170	42	946
AB242171	42	945
AB242172	1	945
AB242173	365	848
AB250107	1	941
AB250108	1	945
AB257296	397	731
AB257297	397	731
AB270760	397	724
AB277725	501	564
AB280687	507	724
AB280688	507	724
AB282826	127	724
AB282827	150	724
AB282828	506	647
AB282829	365	660
AB282830	506	660
AB282831	507	640
AB282833	398	724
AB282834	102	724
AB282835	102	724
AB282836	420	659
AB282837	398	724
AB282838	513	645
AB282839	149	724
AB282840	149	724
AB282841	149	724
AB282842	149	724
AB282843	149	724
AB282844	398	724
AB282845	150	724
AB282846	150	724
AB282847	149	724
AB282848	150	724
AB282849	102	724
AB282850	420	663
AB282851	420	663
AB282852	398	724
AB282853	486	724
AB282854	149	637
AB282855	149	637
AB282856	149	592
AB290770	486	724
AB290771	486	724
AB290772	486	724
AB290773	486	724
AB290774	486	724
AB290775	486	724
AB290776	486	724
AB290777	486	724
AB290778	486	724
AB290779	486	724
AB290780	486	724
AB290781	486	724
AB290782	486	724
AB290783	486	724
AB290784	486	724
AB290785	486	724
AB290786	486	724
AB290787	486	724
AB290788	486	724
AB290789	486	724
AB290790	486	724
AB290791	486	724
AB290792	486	724
AB290793	486	724
AB290794	486	724
AB290795	486	724
AB290796	486	724
AB290797	486	724
AB290798	486	724
AB290799	486	724
AB290800	486	724
AB290801	486	724
AB290802	486	724
AB305023	102	724
AB355904	149	307
AB355905	149	724
AB355906	42	724
AB355907	396	724
AB355908	148	724
AB355909	149	724
AB355910	373	724
AB355911	396	724
AB355912	97	302
AB355913	404	592
AB355914	398	724
AB355915	149	724
AB355916	398	724
AB355917	506	637
AB355918	103	724
AB355919	39	724
AB355920	102	647
AB355921	102	647
AB355922	149	724
